Source ID,Domain ID,Domain Name,URL,Custom API IDs,
16143,1514,arabianbusiness,https://www.arabianbusiness.com/tags/bitcoin/feed,13,
30386,4604,arab_btc,https://arab-btc.net/feed/,13,
30387,4604,arab_btc,https://arab-btc.net/category/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/feed/,13,
30388,4604,arab_btc,https://arab-btc.net/category/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/%D8%B4%D8%B1%D9%88%D8%AD%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/feed/,13,
30389,4604,arab_btc,https://arab-btc.net/category/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/feed/,13,
30390,4604,arab_btc,https://arab-btc.net/category/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/%D8%AA%D8%B9%D8%AF%D9%8A%D9%86-%D9%88%D8%B1%D8%A8%D8%AD-%D8%A7%D9%84%D8%A8%D9%8A%D8%AA%D9%83%D9%88%D9%8A%D9%86/feed/,13,
30391,4604,arab_btc,https://arab-btc.net/category/%D8%A7%D9%84%D8%A7%D9%83%D8%AA%D8%AA%D8%A7%D8%A8%D8%A7%D8%AA/feed/,13,
30392,4604,arab_btc,https://arab-btc.net/category/%D9%85%D9%88%D8%A7%D8%B6%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9/feed/,13,
30393,4604,arab_btc,https://arab-btc.net/category/%D9%85%D8%B3%D8%AA%D8%AC%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%84%D9%88%D9%83%D8%B4%D9%8A%D9%86/feed/,13,
30394,4604,arab_btc,https://arab-btc.net/category/%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1/feed/,13,
